Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7448979591836735,0.3409090909090909,0.6382978723404256,0.4444444444444444,0.7940391075889395
Decision Tree,0.7414965986394558,0.2898550724637681,0.425531914893617,0.3448275862068966,0.5768369368593332
Random Forest,0.8367346938775511,0.42857142857142855,0.06382978723404255,0.1111111111111111,0.7744853131191317
Gradient Boosting,0.8503401360544217,0.6,0.19148936170212766,0.2903225806451613,0.8040313549832028
